Expression: ^\d+::([\w\s:,\.\(\)'\-\/!&ÁÉÍÓÚáéíóúäëïöü]+)\s(\(\d\d\d\d\))::.*$
{title: Times Square, year: (1980)}
{title: Tom Horn, year: (1980)}
{title: Puma Man, The (a.k.a. The Pumaman) (L'Uomo Puma), year: (1980)}
{title: Up the Academy, year: (1980)}
{title: When Time Ran Out... (a.k.a. The Day the World Ended), year: (1980)}
{title: Wholly Moses, year: (1980)}
{title: Without Warning (a.k.a. Alien Warning) (a.k.a. It Came Without Warning), year: (1980)}
{title: Xanadu, year: (1980)}
{title: ...All the Marbles (a.k.a. The California Dolls), year: (1981)}
{title: Absence of Malice, year: (1981)}
{title: All Night Long, year: (1981)}
{title: Amateur, The, year: (1981)}
{title: Banana Joe, year: (1981)}
{title: Marianne & Juliane (Die Bleierne Zeit), year: (1981)}
{title: Blow Out, year: (1981)}
{title: Boogens, The, year: (1981)}
{title: Buddy Buddy, year: (1981)}
{title: Burning, The, year: (1981)}
{title: Butterfly, year: (1982)}
{title: Make Them Die Slowly (Cannibal Ferox), year: (1981)}
{title: Carbon Copy, year: (1981)}
{title: Charlie Chan and the Curse of the Dragon Queen, year: (1981)}
{title: Friend Is a Treasure, A (a.k.a. Who Finds a Friend Finds a Treasure) (Chi Trova Un Amico, Trova un Tesoro), year: (1981)}
{title: Chosen, The, year: (1982)}
5722::Goat, The (a.k.a. Knock On Wood) (La Chèvre) (1981)::Comedy
{title: Continental Divide, year: (1981)}
{title: Creature Wasn't Nice, The (a.k.a. Naked Space) (a.k.a. Spaceship), year: (1981)}
{title: Man of Iron (Czlowiek z Zelaza), year: (1981)}
{title: Dead & Buried, year: (1981)}
{title: Deadly Blessing, year: (1981)}
{title: Death Hunt, year: (1981)}
{title: Endless Love, year: (1981)}
{title: Enter the Ninja (a.k.a. Ninja I), year: (1981)}
{title: Entity, The, year: (1981)}
{title: Eye of the Needle, year: (1981)}
{title: Eyewitness (a.k.a. The Janitor), year: (1981)}
{title: Faces of Death 2, year: (1981)}
{title: Faces of Death, year: (1978)}
{title: Faces of Death 3, year: (1985)}
{title: Faces of Death 4, year: (1990)}
{title: Faces of Death 5, year: (1996)}
{title: Faces of Death 6, year: (1996)}
5740::Faces of Death: Fact or Fiction? (1999)::Documentary|Horror
5741::Woman Next Door, The (La Femme d'à côté) (1981)::Drama|Romance
{title: First Monday in October, year: (1981)}
{title: Fort Apache, the Bronx, year: (1981)}
{title: Four Friends (a.k.a. Georgia's Friends), year: (1981)}
{title: Four Seasons, The, year: (1981)}
{title: Galaxy of Terror (a.k.a. Quest), year: (1981)}
{title: Gallipoli, year: (1981)}
5748::Inquisitor, The (a.k.a. Under Suspicion) (Garde à Vue) (1981)::Crime|Drama
{title: Ghost Story, year: (1981)}
{title: Going Ape!, year: (1981)}
{title: Goodbye Pork Pie, year: (1981)}
{title: Gregory's Girl, year: (1981)}
5753::Who Pulled the Plug? (Göta Kanal) (1981)::Comedy
{title: Hand, The, year: (1981)}
{title: Happy Birthday to Me, year: (1981)}
{title: Heartbeeps, year: (1981)}
{title: History of Kim Skov (Historien om Kim Skov), year: (1981)}
{title: Horror Planet (a.k.a. Inseminoid), year: (1981)}
{title: Ladies and Gentlemen, the Fabulous Stains (a.k.a. All Washed Up), year: (1981)}
{title: Lady Chatterley's Lover, year: (1981)}
{title: Legend of the Lone Ranger, The, year: (1981)}
{title: Lili Marleen, year: (1981)}
{title: Lola, year: (1981)}
{title: Looker, year: (1981)}
{title: Looney, Looney, Looney Bugs Bunny Movie, The, year: (1981)}
{title: Madman, year: (1981)}
{title: Teddy Bear (Mis), year: (1981)}
{title: Modern Problems, year: (1981)}
{title: Modern Romance, year: (1981)}
{title: Ms. 45 (a.k.a. Angel of Vengeance), year: (1981)}
{title: My Bloody Valentine, year: (1981)}
{title: My Dinner with André, year: (1981)}
{title: Neighbors, year: (1981)}
{title: Night of the Zombies (a.k.a. Batallion of the Living Dead), year: (1981)}
{title: Night the Lights Went Out in Georgia, The, year: (1981)}
{title: Only When I Laugh, year: (1981)}
{title: Pennies from Heaven, year: (1981)}
{title: Pieces (a.k.a. One Thousand Cries Has the Night), year: (1981)}
{title: Piranha II: The Spawning, year: (1981)}
{title: Polyester, year: (1981)}
{title: Private Lessons, year: (1981)}
{title: Professional, The (Le Professionnel), year: (1981)}
{title: Derrida, year: (2002)}
{title: Ghost Ship, year: (2002)}
{title: Jackass: The Movie, year: (2002)}
{title: Paid in Full, year: (2002)}
{title: Truth About Charlie, The, year: (2002)}
{title: All or Nothing, year: (2002)}
{title: All the Queen's Men, year: (2001)}
{title: Food of Love (Manjar de Amor), year: (2002)}
{title: Frida, year: (2002)}
{title: Roger Dodger, year: (2002)}
{title: Time Changer, year: (2002)}
{title: Good Work (Beau travail), year: (1999)}
{title: Big Knife, The, year: (1955)}
{title: Casino Royale, year: (1967)}
{title: Company of Wolves, The, year: (1984)}
{title: Escanaba in da Moonlight, year: (2001)}
{title: Exodus, year: (1960)}
{title: How to Murder Your Wife, year: (1965)}
{title: Russians Are Coming, the Russians Are Coming, The, year: (1966)}
{title: World of Henry Orient, The, year: (1964)}
{title: I Spy, year: (2002)}
{title: Santa Clause 2, The, year: (2002)}
{title: Besotted, year: (2001)}
{title: Blackboards (Takhté Siah), year: (2000)}
{title: Love In the Time of Money, year: (2002)}
{title: Weight of Water, The, year: (2000)}
{title: Femme Fatale, year: (2002)}
{title: 8 Mile, year: (2002)}
5811::Etoiles: Dancers of the Paris Opera Ballet (Tout Près des étoiles) (2001)::Documentary|Musical
{title: Far from Heaven, year: (2002)}
{title: God is Great, I'm Not (Dieu est grand, je suis toute petite), year: (2001)}
{title: Rising Place, The, year: (2002)}
{title: Half Past Dead, year: (2002)}
{title: Harry Potter and the Chamber of Secrets, year: (2002)}
{title: Ararat, year: (2002)}
{title: Crime of Father Amaro, The (El Crimen del Padre Amaro), year: (2002)}
{title: Interview with the Assassin, year: (2002)}
{title: Standing in the Shadows of Motown, year: (2002)}
{title: Way Home, The (Jibeuro), year: (2002)}
{title: Mutant Action (Acción Mutante), year: (1993)}
{title: Eyes of an Angel, year: (1991)}
{title: Liberty Stands Still, year: (2002)}
{title: Life and Death of Colonel Blimp, The, year: (1943)}
{title: Rio Grande, year: (1950)}
{title: Young Americans, The, year: (1993)}
{title: Blackrock, year: (1997)}
{title: Men with Brooms, year: (2002)}
{title: Mysterious Island, year: (1961)}
{title: Soul Assassin, year: (2001)}
{title: Left Behind II: Tribulation Force, year: (2002)}
{title: Dog Soldiers, year: (2002)}
{title: Fingers, year: (1978)}
{title: Good Evening, Mr. Wallenberg (God afton, Herr Wallenberg), year: (1990)}
{title: Houseboat, year: (1958)}
{title: Legion of the Dead, year: (2000)}
{title: Madame Bovary, year: (1991)}
5839::My Father's Glory (Gloire de mon Père) (1990)::Comedy|Drama
5840::My Mother's Castle (Le Château de ma mère) (1990)::Comedy|Drama
{title: Return to the Blue Lagoon, year: (1991)}
{title: Too Beautiful for You (Trop belle pour toi), year: (1989)}
{title: Toy Soldiers, year: (1991)}
{title: Prowler, The (a.k.a. Rosemary's Killer) (a.k.a. The Graduation), year: (1981)}
{title: Pursuit of D.B. Cooper, The (a.k.a. Pursuit), year: (1981)}
{title: Raggedy Man, year: (1981)}
{title: Ragtime, year: (1981)}
{title: Rich and Famous, year: (1981)}
{title: I'm Starting From Three (Ricomincio da Tre), year: (1981)}
{title: Road Games, year: (1981)}
{title: Rollover, year: (1981)}
{title: Saturday the 14th, year: (1981)}
{title: Scanners, year: (1981)}
{title: Sharky's Machine, year: (1981)}
{title: Shock Treatment, year: (1981)}
5856::Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell) (1981)::Comedy|Drama|Romance
{title: So Fine, year: (1981)}
{title: Soupe aux Choux, La, year: (1981)}
{title: Southern Comfort, year: (1981)}
{title: Sphinx, year: (1981)}
{title: Tales of Ordinary Madness (Storie di Ordinaria Follia), year: (1981)}
{title: Student Bodies, year: (1981)}
{title: Take This Job and Shove It, year: (1981)}
{title: Tarzan, the Ape Man, year: (1981)}
{title: Tattoo, year: (1981)}
{title: They All Laughed, year: (1981)}
{title: Thief, year: (1981)}
{title: This Is Elvis, year: (1981)}
{title: True Confessions, year: (1981)}
5870::Revolution #9 (2001)::Thriller
{title: Better Housekeeping (a.k.a. Good Housekeeping), year: (2000)}
{title: Die Another Day, year: (2002)}
{title: Emperor's Club, The, year: (2002)}
{title: Friday After Next, year: (2002)}
{title: Personal Velocity, year: (2002)}
{title: Quiet American, The, year: (2002)}
{title: Talk to Her (Hable con Ella), year: (2002)}
{title: Adam Sandler's 8 Crazy Nights, year: (2002)}
{title: Extreme Ops, year: (2002)}
{title: Solaris, year: (2002)}
{title: Treasure Planet, year: (2002)}
{title: They, year: (2002)}
{title: Chopper Chicks in Zombietown, year: (1989)}
5885::What to Do in Case of Fire (Was Tun, Wenn's Brennt?) (2002)::Comedy|Drama
{title: I Love You Too (Ik ook Van Jou), year: (2001)}
{title: Another You, year: (1991)}
{title: Brat (a.k.a. Brother), year: (1997)}
{title: Cruel Romance, A (Zhestokij Romans), year: (1984)}
{title: Elling, year: (2001)}
{title: I Spit on Your Grave (a.k.a. Day of the Woman), year: (1978)}
{title: Island at the Top of the World, The, year: (1974)}
{title: Last Seduction, The, year: (1994)}
{title: Last Seduction II, The, year: (1999)}
{title: Making Contact (a.k.a. Joey), year: (1985)}
{title: New Waterford Girl, year: (1999)}
{title: Noah's Arc Principle, The (Das Arche Noah Prinzip), year: (1984)}
{title: Sword and the Sorcerer, The, year: (1982)}
{title: Zulu, year: (1964)}
{title: Analyze That, year: (2002)}
{title: Empire, year: (2002)}
{title: Adaptation, year: (2002)}
{title: Equilibrium, year: (2002)}
{title: My Kingdom, year: (2001)}
5906::It All Starts Today (Ça commence aujourd'hui) (1999)::Drama
{title: Medea, year: (1970)}
{title: Scarlet Diva, year: (2000)}
{title: Visitor Q (Bizita Q), year: (2001)}
{title: Bolero (Les Uns et les Autres), year: (1981)}
{title: Urgh! A Music War, year: (1981)}
{title: Hit the Bank (Vabank), year: (1981)}
{title: Warning For the Joensson Gang (Varning för Jönssonligan), year: (1981)}
{title: Vernon, Florida, year: (1981)}
{title: Victory (a.k.a. Escape to Victory), year: (1981)}
5916::Whose Life Is It Anyway? (1981)::Drama
{title: Zoot Suit, year: (1981)}
{title: Alone in the Dark, year: (1982)}
{title: Android, year: (1982)}
{title: Ace of Aces (a.k.a. The Super Ace) (L'As des As), year: (1982)}
{title: Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui), year: (1982)}
{title: Attila (Attila Flagello di Dio), year: (1982)}
{title: Author! Author!, year: (1982)}
{title: Barbarosa, year: (1982)}
{title: Beast Within, The, year: (1982)}
{title: Best Friends, year: (1982)}
{title: Best Little Whorehouse in Texas, The, year: (1982)}
{title: Border, The, year: (1982)}
{title: Party 2, The (La Boum 2), year: (1982)}
{title: Brimstone and Treacle, year: (1982)}
{title: Britannia Hospital, year: (1982)}
{title: Burden of Dreams, year: (1982)}
{title: Cannery Row, year: (1982)}
{title: Challenge, The, year: (1982)}
{title: Class of 1984, year: (1982)}
{title: Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean, year: (1982)}
{title: Danton, year: (1983)}
{title: Deathtrap, year: (1982)}
{title: Man Who Saves the World, The (Dünyayi Kurtaran Adam), year: (1982)}
{title: Eating Raoul, year: (1982)}
{title: Drumline, year: (2002)}
{title: Hot Chick, The, year: (2002)}
{title: Maid in Manhattan, year: (2002)}
{title: Star Trek: Nemesis, year: (2002)}
{title: About Schmidt, year: (2002)}
{title: Pellet (El Bola), year: (2000)}
{title: Evelyn, year: (2002)}
{title: Guys, The, year: (2002)}
{title: Intact (Intacto), year: (2001)}
{title: Jimmy Show, The, year: (2002)}
{title: Morvern Callar, year: (2002)}
{title: Lord of the Rings: The Two Towers, The, year: (2002)}
{title: Devils on the Doorstep (Guizi lai le), year: (2000)}
{title: 25th Hour, year: (2002)}
{title: Antwone Fisher, year: (2002)}
{title: Gangs of New York, year: (2002)}
{title: Two Weeks Notice, year: (2002)}
{title: Wild Thornberrys Movie, The, year: (2002)}
{title: Narc, year: (2002)}
{title: Bad Influence, year: (1990)}
{title: Blue Steel, year: (1990)}
{title: Body of Evidence, year: (1993)}
{title: Children's Hour, The, year: (1961)}
{title: Company Business, year: (1991)}
{title: Duellists, The, year: (1977)}
{title: Kiss Before Dying, A, year: (1956)}
{title: Legend of the Lost, year: (1957)}
{title: Miami Blues, year: (1990)}
{title: My Girl 2, year: (1994)}
{title: My Girl, year: (1991)}
{title: My Neighbor Totoro (Tonari no Totoro), year: (1988)}
{title: Road to Hong Kong, The, year: (1962)}
{title: Running Time, year: (1997)}
{title: Thief of Bagdad, The, year: (1940)}
{title: War and Peace, year: (1956)}
{title: Where Sleeping Dogs Lie, year: (1992)}
5977::Where's Poppa? (1970)::Comedy
{title: Whistle Blower, The, year: (1986)}
{title: Attack of the Crab Monsters, year: (1957)}
{title: Black Christmas, year: (1974)}
{title: Day of the Triffids, The, year: (1962)}
{title: Esther Kahn, year: (2000)}
{title: Invaders from Mars, year: (1953)}
{title: Story of O, The (Histoire d'O), year: (1975)}
{title: Asoka (a.k.a. Ashoka the Great), year: (2001)}
{title: Fat City, year: (1972)}
{title: Love, Honour and Obey, year: (2000)}
{title: Quicksilver, year: (1986)}
{title: Catch Me If You Can, year: (2002)}
{title: Pinocchio, year: (2002)}
{title: Chicago, year: (2002)}
{title: Hours, The, year: (2002)}
{title: Max, year: (2002)}
{title: Nicholas Nickleby, year: (2002)}
{title: Pianist, The, year: (2002)}
{title: Sonny, year: (2002)}
{title: Champagne for Caesar, year: (1950)}
{title: Doppelganger, year: (1993)}
{title: Heavy Metal 2000, year: (2000)}
{title: House on the Edge of the Park, The (La Casa Sperduta nel Parco), year: (1980)}
{title: King of Comedy, The, year: (1983)}
{title: Love Liza, year: (2002)}
{title: Confessions of a Dangerous Mind, year: (2002)}
6004::Abraham's Valley (Vale Abraão) (1993)::Drama
{title: Blue Collar Comedy Tour: The Movie, year: (2003)}
{title: Just Married, year: (2003)}
{title: P.S. Your Cat is Dead, year: (2002)}
{title: Son, The (Le Fils), year: (2002)}
6009::City of Lost Souls, The (Hyôryuu-gai) (2000)::Crime|Drama|Thriller
{title: Double Whammy, year: (2001)}
{title: Wisegirls, year: (2002)}
{title: Guy Thing, A, year: (2003)}
{title: Kangaroo Jack, year: (2003)}
{title: National Security, year: (2003)}
{title: Big Shot's Funeral (Da Wan), year: (2001)}
{title: City of God (Cidade de Deus), year: (2002)}
{title: Divine Intervention (Yadon ilaheyya), year: (2002)}
6018::Kira's Reason: A Love Story (En Kærlighedshistorie) (2001)::Drama
{title: Above Suspicion, year: (1995)}
{title: Alice Adams, year: (1935)}
{title: American Friend, The (Der Amerikanische Freund), year: (1977)}
{title: American Me, year: (1992)}
6023::Band of Outsiders (Bande à part) (1964)::Comedy|Crime|Drama|Romance
{title: Breaking Up, year: (1997)}
{title: CB4 - The Movie, year: (1993)}
{title: Deathmaker, The (Der Totmacher), year: (1995)}
{title: Dogfight, year: (1991)}
{title: Easy Come, Easy Go, year: (1967)}
{title: Fun in Acapulco, year: (1963)}
{title: Girls! Girls! Girls!, year: (1962)}
{title: Imitation of Life, year: (1959)}
{title: Little Romance, A, year: (1979)}
{title: Mystery Date, year: (1991)}
{title: Paradise, Hawaiian Style, year: (1966)}
{title: Pépé le Moko, year: (1937)}
{title: Secret Admirer, year: (1985)}
{title: Summer Lovers, year: (1982)}
{title: Tune in Tomorrow..., year: (1990)}
{title: Woman in Red, The, year: (1984)}
{title: Darkness Falls, year: (2003)}
{title: Amen., year: (2002)}
{title: Blind Spot: Hitler's Secretary (Im toten Winkel - Hitlers Sekretärin), year: (2002)}
{title: In the Mirror of Maya Deren (Im Spiegel der Maya Deren), year: (2002)}
{title: Blind Date, year: (1984)}
{title: Bullet, year: (1996)}
{title: Claudine, year: (1974)}
{title: Dead Reckoning, year: (1947)}
{title: Devil at 4 O'Clock, The, year: (1961)}
{title: Ethan Frome, year: (1993)}
{title: Gus, year: (1976)}
{title: Harder They Come, The, year: (1973)}
{title: Horse in the Gray Flannel Suit, The, year: (1968)}
{title: Krush Groove, year: (1985)}
{title: Moon-Spinners, The, year: (1964)}
{title: Sugar Hill, year: (1994)}
{title: Chaos, year: (2001)}
{title: Biker Boyz, year: (2003)}
{title: Final Destination 2, year: (2003)}
{title: Recruit, The, year: (2003)}
{title: Guru, The, year: (2002)}
{title: Kedma, year: (2002)}
{title: Lost In La Mancha, year: (2002)}
{title: May, year: (2002)}
{title: Harder They Fall, The, year: (1956)}
{title: I'm All Right Jack, year: (1959)}
{title: Murder by Decree, year: (1979)}
{title: Ordinary Decent Criminal, year: (2000)}
{title: Pursued, year: (1947)}
{title: Smallest Show on Earth, The, year: (1957)}
6070::Tokyo Decadence (Topâzu) (1992)::Drama
{title: Two-Way Stretch, year: (1960)}
6072::Unfaithful Wife, The (La Femme Infidèle) (1969)::Drama|Thriller
{title: Victim, year: (1961)}
{title: Endangered Species, year: (1982)}
{title: Simple-Minded Murder, The (Enfaldige mördaren, Den), year: (1982)}
{title: Enigma, year: (1983)}
{title: Evil Under the Sun, year: (1982)}
{title: Firefox, year: (1982)}
{title: Five Days One Summer, year: (1982)}
{title: Forced Vengeance, year: (1982)}
{title: Never Play Clever Again (Le Gendarme et les Gendarmettes), year: (1982)}
{title: Grey Fox, The, year: (1982)}
{title: Hammett, year: (1982)}
{title: Honkytonk Man, year: (1982)}
{title: Neil Young: Human Highway, year: (1982)}
{title: I, the Jury, year: (1982)}
{title: If You Could See What I Hear, year: (1982)}
{title: Jekyll & Hyde... Together Again, year: (1982)}
{title: J. Gang Meets Dynamite Harry, The (Jönssonligan & DynamitHarry), year: (1982)}
{title: Kiss Me Goodbye, year: (1982)}
{title: Labyrinth of Passion (Laberinto de Pasiones), year: (1982)}
{title: Last American Virgin, The, year: (1982)}
{title: Last Unicorn, The, year: (1982)}
{title: Liquid Sky, year: (1982)}
{title: Dragon Strike (a.k.a. Dragon Lord) (Long Xiao Ye), year: (1982)}
{title: Making Love, year: (1982)}
{title: Manhattan Baby, year: (1982)}
{title: Marathon Family, The (Maratonci Trce Pocasni Krug), year: (1982)}
{title: Megaforce, year: (1982)}
{title: Midsummer Night's Sex Comedy, A, year: (1982)}
{title: Missing, year: (1982)}
{title: Missionary, The, year: (1982)}
{title: Monsignor, year: (1982)}
{title: Monty Python Live at the Hollywood Bowl, year: (1982)}
{title: Moonlighting, year: (1982)}
{title: Mother Lode, year: (1982)}
{title: Night of the Shooting Stars (La Notte di San Lorenzo), year: (1982)}
{title: That Night in Varennes (La Nuit de Varennes), year: (1982)}
{title: One from the Heart, year: (1982)}
{title: Pandemonium, year: (1982)}
{title: Paradise, year: (1982)}
{title: Partners, year: (1982)}
{title: Godard's Passion (Passion), year: (1982)}
{title: Permanent Vacation, year: (1982)}
{title: Personal Best, year: (1982)}
{title: Pirate Movie, The, year: (1982)}
{title: Privates on Parade, year: (1982)}
{title: Blind Chance (Przypadek), year: (1981)}
6119::Père Noël est une Ordure, Le (1982)::Comedy
{title: Q: The Winged Serpent, year: (1982)}
{title: Querelle, year: (1982)}
{title: Richard Pryor Live on the Sunset Strip, year: (1982)}
{title: Sunless (Sans Soleil), year: (1983)}
{title: Savannah Smiles, year: (1982)}
{title: Secret Policeman's Other Ball, The, year: (1982)}
{title: Veronika Voss (Sehnsucht der Veronika Voss, Die), year: (1982)}
{title: Shoot the Moon, year: (1982)}
{title: Six Pack, year: (1982)}
{title: Six Weeks, year: (1982)}
{title: Soldier, The, year: (1982)}
{title: Some Kind of Hero, year: (1982)}
{title: New York Ripper, The (Lo Squartatore di New York), year: (1982)}
{title: State of Things, The (Der Stand der Dinge), year: (1982)}
{title: Starstruck, year: (1982)}
{title: Still of the Night, year: (1982)}
{title: South, The (El Sur), year: (1983)}
{title: Sword of the Valiant, year: (1982)}
{title: Tag: The Assassination Game (a.k.a. Everybody Gets It in the End), year: (1982)}
{title: Tempest, year: (1982)}
{title: Unsane (Tenebre), year: (1982)}
6141::They Call Me Bruce? (a.k.a. A Fistful of Chopsticks) (1982)::Comedy
{title: Time Walker (a.k.a. Being From Another Planet), year: (1982)}
{title: Trail of the Pink Panther, year: (1982)}
{title: Traviata, La, year: (1982)}
{title: Venom, year: (1982)}
{title: To Begin Again (a.k.a. Starting Over) (Volver a Empezar), year: (1982)}
6147::White Rose, The (Die Weiße Rose) (1982)::Drama|Film-Noir
{title: White Dog, year: (1982)}
{title: Final Option, The (Who Dares Wins), year: (1982)}
{title: Wrong Is Right (a.k.a. The Man With the Deadly Lens), year: (1982)}
{title: Yol, year: (1982)}
{title: Yor, the Hunter from the Future, year: (1983)}
{title: Zapped!, year: (1982)}
{title: Deliver Us from Eva, year: (2003)}
{title: How to Lose a Guy in 10 Days, year: (2003)}
{title: Shanghai Knights, year: (2003)}
{title: Daredevil, year: (2003)}
{title: Jungle Book 2, The, year: (2003)}
{title: All the Real Girls, year: (2003)}
{title: Amandla! A Revolution In Four Part Harmony, year: (2002)}
{title: Painted Fire (Chihwaseon), year: (2002)}
{title: Gerry, year: (2002)}
6163::He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002)::Romance|Thriller
{title: Lockdown, year: (2000)}
{title: Ordinary Sinner, year: (2001)}
{title: Dennis the Menace, year: (1993)}
{title: Stand-In, year: (1937)}
{title: 10 to Midnight, year: (1983)}
{title: Black Stallion Returns, The, year: (1983)}
{title: Black Stallion, The, year: (1979)}
{title: Cesar & Rosalie (César et Rosalie), year: (1972)}
{title: Countess from Hong Kong, A, year: (1967)}
{title: Into the West, year: (1992)}
{title: Kinjite: Forbidden Subjects, year: (1989)}
{title: Messenger of Death, year: (1988)}
{title: Mr. Majestyk, year: (1974)}
{title: Murphy's Law, year: (1986)}
{title: Patch of Blue, A, year: (1965)}
{title: Prayer for the Dying, A, year: (1987)}
{title: Q & A, year: (1990)}
{title: Red Badge of Courage, The, year: (1951)}
{title: Thrill of It All, The, year: (1963)}
{title: Pillow Talk, year: (1959)}
{title: Man Who Fell to Earth, The, year: (1976)}
{title: Dark Blue, year: (2003)}
{title: Gods and Generals, year: (2003)}
{title: Life of David Gale, The, year: (2003)}
{title: Old School, year: (2003)}
{title: Dischord, year: (2001)}
{title: Lawless Heart, The, year: (2003)}
{title: Navigators, The, year: (2001)}
{title: Open Hearts (Elsker dig for evigt), year: (2002)}
{title: Poolhall Junkies, year: (2002)}
{title: Till Human Voices Wake Us, year: (2001)}
{title: Stone Reader, year: (2002)}
{title: Cradle 2 the Grave, year: (2003)}
{title: Spider, year: (2002)}
{title: American Heart, year: (1992)}
{title: Edie & Pen, year: (1997)}
{title: Insignificance, year: (1985)}
{title: Lady Jane, year: (1986)}
{title: Late Marriage (Hatuna Meuheret), year: (2001)}
{title: Life Stinks, year: (1991)}
{title: Meteor Man, The, year: (1993)}
{title: Mr. North, year: (1988)}
{title: Seize the Day, year: (1986)}
{title: Slaughter Rule, The, year: (2002)}
{title: Teenagers from Outer Space, year: (1959)}
{title: Trouble Bound, year: (1993)}
{title: Volcano High (Whasango), year: (2001)}
{title: Ten, year: (2002)}
{title: Bringing Down the House, year: (2003)}
{title: Tears of the Sun, year: (2003)}
{title: Irreversible (Irréversible), year: (2002)}
{title: Laurel Canyon, year: (2002)}
{title: Nowhere in Africa (Nirgendwo in Afrika), year: (2001)}
{title: Safety of Objects, The, year: (2001)}
{title: Bend It Like Beckham, year: (2002)}
{title: Hunted, The, year: (2003)}
{title: Willard, year: (2003)}
{title: Gaudi Afternoon, year: (2001)}
{title: Prozac Nation, year: (2001)}
{title: Spun, year: (2001)}
{title: Under the Skin of the City (Zir-e-poost-e Shahr), year: (2001)}
{title: King of Kings, year: (1961)}
{title: Lost Honor of Katharina Blum, The (Die Verlorene Ehre der Katharina Blum oder: Wie Gewalt entstehen und wohin sie führen kann), year: (1975)}
{title: Loving You, year: (1957)}
{title: Talk of the Town, The, year: (1942)}
{title: Two-Lane Blacktop, year: (1971)}
{title: Bang the Drum Slowly, year: (1973)}
{title: Benny Goodman Story, The, year: (1955)}
{title: Born Free, year: (1966)}
{title: Born Yesterday, year: (1993)}
{title: Equus, year: (1977)}
{title: Europa Europa (Hitlerjunge Salomon), year: (1990)}
{title: Fear Strikes Out, year: (1957)}
{title: Glenn Miller Story, The, year: (1953)}
{title: Green Card, year: (1990)}
{title: Journey to the Center of the Earth, year: (1959)}
{title: One Good Cop, year: (1991)}
6241::Pauline at the Beach (Pauline à la Plage) (1983)::Comedy|Drama|Romance
{title: Ring (Ringu), year: (1998)}
{title: Ringu 2 (a.k.a. Ring 2), year: (1999)}
{title: Salaam Bombay!, year: (1988)}
{title: Sweet Charity, year: (1969)}
{title: Talent for the Game, year: (1991)}
{title: Women in Love, year: (1969)}
{title: Japon (a.k.a. Japan) (Japón), year: (2002)}
{title: Boat Trip, year: (2003)}
{title: Dreamcatcher, year: (2003)}
{title: Piglet's Big Movie, year: (2003)}
{title: View from the Top, A, year: (2003)}
{title: Awful Truth, The, year: (1937)}
{title: Bible, The (a.k.a. Bible... In the Beginning, The), year: (1966)}
{title: House with Laughing Windows, The (La Casa dalle Finestre che Ridono), year: (1976)}
{title: I Am Curious (Yellow) (Jag är nyfiken - en film i gult), year: (1967)}
{title: Les Dames du Bois de Boulogne, year: (1945)}
{title: My Friend Flicka, year: (1943)}
{title: Robe, The, year: (1953)}
{title: Wind, year: (1992)}
{title: Unknown Pleasures (Ren Xiao Yao), year: (2002)}
{title: Basic, year: (2003)}
{title: Core, The, year: (2003)}
{title: Head of State, year: (2003)}
{title: What a Girl Wants, year: (2003)}
{title: Assassination Tango, year: (2002)}
{title: Raising Victor Vargas, year: (2002)}
{title: Stevie, year: (2002)}
{title: Dreams (Yume), year: (1990)}
{title: Day for Night (Nuit Américaine, La), year: (1973)}
{title: Eye of God, year: (1997)}
{title: In a Lonely Place, year: (1950)}
{title: Physical Evidence, year: (1989)}
{title: Square Dance, year: (1987)}
{title: Wake of the Red Witch, year: (1948)}
{title: Winter Kills, year: (1979)}
{title: Fellini: I'm a Born Liar (Fellini: Je Suis um Grand Menteur), year: (2001)}
{title: Good Thief, The, year: (2002)}
{title: Man Apart, A, year: (2003)}
{title: Phone Booth, year: (2002)}
6282::Cet amour-là (2001)::Drama|Romance
{title: Cowboy Bebop: The Movie (Cowboy Bebop: Tengoku no Tobira), year: (2001)}
{title: DysFunktional Family, year: (2003)}
{title: Levity, year: (2003)}
{title: Man Without a Past, The (Mies vailla menneisyyttä), year: (2002)}
{title: Anger Management, year: (2003)}
{title: Better Luck Tomorrow, year: (2002)}
{title: Ghosts of the Abyss, year: (2003)}
{title: House of 1000 Corpses, year: (2003)}
{title: Lilya 4-Ever (Lilja 4-ever), year: (2002)}
{title: Marion Bridge, year: (2002)}
{title: XX/XY, year: (2002)}
{title: Bulletproof Monk, year: (2003)}
{title: Chasing Papi (a.k.a. Papi Chulo), year: (2003)}
{title: Mighty Wind, A, year: (2003)}
{title: Holes, year: (2003)}
{title: Malibu's Most Wanted, year: (2003)}
{title: Winged Migration (Le Peuple migrateur), year: (2001)}
{title: Flickering Lights (Blinkende lygter), year: (2000)}
{title: Straw Dogs, year: (1971)}
{title: Beginning of the End, year: (1957)}
{title: Andromeda Strain, The, year: (1971)}
{title: Brainscan, year: (1994)}
{title: Fahrenheit 451, year: (1966)}
{title: I Am Trying to Break Your Heart, year: (2002)}
{title: Iceman Cometh, The, year: (1973)}
{title: Legal Eagles, year: (1986)}
{title: Married to It, year: (1991)}
{title: Memories of Me, year: (1988)}
{title: Other Side of Heaven, The, year: (2001)}
{title: Private Function, A, year: (1984)}
